,return_usd
1874,-0.28024314335478245
1876,-0.9210520489758656
1877,1.4171387444148718
1878,0.8641971173158354
1879,0.43340447679740585
1880,0.3107880611662562
1934,-0.05519563546795001
1949,1.374398889706824
1950,0.9913982043609605
1963,2.5336968139574325
1976,1.6461554953692632
1977,1.6461554953692632
1978,1.6461554953692632
1979,1.6614229675000516
1980,1.5295068651929724
1981,1.0499471166868286
1984,0.23190505698278244
1985,0.23190505698278244
1986,0.23190505698278244
2018,1.0340737675305385
2019,2.1052554765728155
2020,1.831957268979282
2023,1.626216363672918
2024,1.405729273758498
2025,0.8941269191724331
2031,-0.4085699230616432
2032,-0.23863797227285846
2033,-0.4428554973267235
2034,2.2872785431766576
2035,0.7674658448022446
2036,0.3021025951130112
2037,0.27193371548364176
2038,1.285091855610728
2040,1.0410537948068213
2041,1.7144103528004506
2046,1.1530057724984413
2047,0.3992458082942475
2048,0.09239684926596758
2049,0.017545179215748864
2054,0.5877866649021191
2090,0.6082426734695013
2091,1.2315393320437413
2092,1.8521173888159455
2093,3.270496265737505
2094,0.6912954671964708
2112,1.9540908811455073
2129,0.24286774416193946
2130,-0.3902317274675752
2131,0.6007577312665978
2132,0.0769610411361284
2136,0.7313577683236974
2142,2.9387173788264467
2143,1.9772980680111325
2144,1.2772325597026402
2145,0.5273877120649689
2165,1.7463784871877133
2191,1.7652957057422025
2192,1.3975557133969085
2193,1.464250277573782
2211,1.275195188601171
2212,-0.0990471536012343
2224,-1.783791299578878
2225,-2.694147295933219
2226,-2.966173471312447
2233,1.5107219394949427
2234,0.6265264932180497
2235,-0.4284778824172373
2245,2.0183105416756044
2246,1.32948588604423
2247,0.4159433523957917
2263,2.5587223173201266
2264,1.7291391072463878
2265,1.2366626221485935
2266,-0.1805631037790914
2278,1.6164333869464866
2279,1.0002641656503335
2280,1.0770481107522691
2281,0.7427465410512295
2284,2.146679540945513
2285,0.7416515896195603
2286,0.26105571638407066
2287,-0.15758992057477098
2305,1.7847348542910906
2306,1.2910766770377047
2314,0.25619140536041013
2320,0.9209598147224175
2321,1.0533359437984742
2322,0.8726731667184319
