,uuid,org_uuid,announced_on,money_raised_usd,num_investors,investment_type,lead_investor_rank,post_money_valuation_usd,prev_rounds,country_code,amount_delta,holding_time
407172,180d62ab-d002-43e0-b87b-b0205b7d6227,f0379bc7-9789-3667-366d-6d895597a3ac,3011817600,250000000.0,2.0,series_d,49729.0,2000000000.0,4.0,other,146149963.0,766.0
161644,00f7b428-33c3-e999-31ea-5d7043d2ec44,f06f6c4d-59b7-34e6-60e9-e241ba49b927,2882304000,14675214.0,1.0,other,741246.0,283205890.0,0.0,GBR,14675214.0,1614.0
308178,a5b1fbee-b769-4074-b2dd-e80e42074f9f,f0744a20-8857-48e2-a1ff-37340c36a712,2977344000,98801677.0,5.0,series_b,133424.0,733955312.0,2.0,CHN,49038783.0,639.0
362279,8820401e-95e0-4c24-a9ba-2dd36d318ede,f0744a20-8857-48e2-a1ff-37340c36a712,2998339200,278797454.0,6.0,series_c,222096.0,1672784721.0,3.0,CHN,179995777.0,243.0
481498,db899689-9622-48b1-9285-86bac6eec54d,f0824f58-d2f7-479e-b921-3b4290a4a27e,3022185600,28454005.0,1.0,series_c,12659.0,28804005.0,0.0,USA,28454005.0,159.0
413875,57161b89-a5e9-492d-9396-7283c8485414,f08da7e5-ca2f-96cb-4a3e-2fc279cc8072,3014841600,150000000.0,3.0,series_c,4160.0,900000000.0,2.0,USA,129000000.0,1023.0
97939,5f1364b6-60c4-b364-c97b-37f881f444f9,f08e9db3-48ca-6ca5-7705-0c9ab70bf451,2361571200,32000000.0,6.0,series_b,109870.0,93000000.0,0.0,USA,32000000.0,1735.0
361880,aa801955-df52-4fa0-b169-084e66461e06,f0953836-d106-4659-bb3a-f0e23416358e,2997993600,12586834.0,1.0,corporate_round,97999.0,116975465.0,2.0,IND,970797.0,891.0
470425,56706de5-3ed9-4957-9a63-3c05ccfd84c2,f09f1438-4e8d-4d6c-ace1-ba4db32a38f2,3036528000,115000000.0,3.0,series_b,1928.0,1300000000.0,0.0,USA,115000000.0,599.0
110711,30c4b52f-393f-f02f-2e2c-54efaf5a06dc,f0a70baa-ce92-8119-d2ea-4659b28d971f,2767910400,4880000.0,3.0,series_a,18337.0,32880000.0,0.0,CHN,4880000.0,2696.0
195895,9ac64adc-6437-4f69-bc8a-9f44b2844e88,f0c0ecf8-6620-3eb0-30f5-328548a55fb8,2903299200,4000000.0,2.0,seed,102606.0,40000000.0,0.0,USA,4000000.0,731.0
187141,35481cca-d5e6-495d-a0b4-bc250fb2220c,f0c363c9-cef5-5fe7-9943-fab273cf4064,2903990400,65000000.0,2.0,series_d,45584.0,300000000.0,4.0,DEU,31000000.0,461.0
389003,dde6af61-25fc-4bc1-9138-50f7c5bf8607,f0cc77bb-69fa-4e20-8490-99066249cd2e,3005596800,222179084.0,1.0,other,355671.0,555447710.0,0.0,KOR,222179084.0,24150.0
